Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Ilość
22;Terminy:select:1;12'20 12.01:1;130
22;Terminy:select:1;15'50 12.01:2;130
22;Terminy:select:1;12'40 13.01:3;130
22;Terminy:select:1;16'00 13.01:4;130
23;Terminy:select:1;13'00* 13.01:0;130
23;Terminy:select:1;18'00* 13.01:1;130
24;Terminy:select:1;10'30 14.01:0;130
24;Terminy:select:1;12'40 14.01:1;130
24;Terminy:select:1;17'45 14.01:2;130
24;Terminy:select:1;10'10 15.01:3;130
24;Terminy:select:1;12'30 15.01:4;130
24;Terminy:select:1;17'45 15.01:5;130
24;Terminy:select:1;10'10 16.01:6;130
24;Terminy:select:1;12'10 16.01:7;130
24;Terminy:select:1;18'00 16.01:8;130
24;Terminy:select:1;10'30 17.01:9;130
24;Terminy:select:1;12'40 17.01:10;130
24;Terminy:select:1;17'15 17.01:11;130
24;Terminy:select:1;10'30 18.01:12;130
24;Terminy:select:1;12'40 18.01:13;130
24;Terminy:select:1;17'45 18.01:14;130
24;Terminy:select:1;10'30 19.01:15;130
24;Terminy:select:1;12'40 19.01:16;130
24;Terminy:select:1;17'45 19.01:17;130
24;Terminy:select:1;10'45 20.01:18;130
24;Terminy:select:1;17'15 20.01:19;130
25;Terminy:select:1;11'15 14.01:0;130
25;Terminy:select:1;14'30 14.01:1;130
25;Terminy:select:1;18'15 14.01:2;130
25;Terminy:select:1;21'00 14.01:3;130
25;Terminy:select:1;11'15 15.01:4;130
25;Terminy:select:1;14'30 15.01:5;130
25;Terminy:select:1;18'15 15.01:6;130
25;Terminy:select:1;21'00 15.01:7;130
25;Terminy:select:1;10'20 16.01:8;130
25;Terminy:select:1;14'20 16.01:9;130
25;Terminy:select:1;18'20 16.01:10;130
25;Terminy:select:1;21'00 16.01:11;130
25;Terminy:select:1;11'15 17.01:12;130
25;Terminy:select:1;14'30 17.01:13;130
25;Terminy:select:1;18'15 17.01:14;130
25;Terminy:select:1;21'00 17.01:15;130
25;Terminy:select:1;11'15 18.01:16;130
25;Terminy:select:1;14'30 18.01:17;130
25;Terminy:select:1;18'15 18.01:18;130
25;Terminy:select:1;21'00 18.01:19;130
25;Terminy:select:1;11'15 19.01:20;130
25;Terminy:select:1;14'30 19.01:21;130
25;Terminy:select:1;18'15 19.01:22;130
25;Terminy:select:1;21'00 19.01:23;130
25;Terminy:select:1;11'15 20.01:24;130
25;Terminy:select:1;14'30 20.01:25;130
25;Terminy:select:1;18'15 20.01:26;130
25;Terminy:select:1;21'00 20.01:27;130
26;Terminy:select:1;16'00 14.01:0;130
26;Terminy:select:1;18'45 14.01:1;130
26;Terminy:select:1;21'20 14.01:2;130
26;Terminy:select:1;16'00 15.01:3;130
26;Terminy:select:1;18'45 15.01:4;130
26;Terminy:select:1;21'20 15.01:5;130
26;Terminy:select:1;17'45 16.01:6;130
26;Terminy:select:1;19'30 16.01:7;130
26;Terminy:select:1;22'00 16.01:8;130
26;Terminy:select:1;16'00 17.01:9;130
26;Terminy:select:1;18'45 17.01:10;130
26;Terminy:select:1;21'20 17.01:11;130
26;Terminy:select:1;16'00 18.01:12;130
26;Terminy:select:1;18'45 18.01:13;130
26;Terminy:select:1;21'20 18.01:14;130
26;Terminy:select:1;16'00 19.01:15;130
26;Terminy:select:1;18'45 19.01:16;130
26;Terminy:select:1;21'20 19.01:17;130
26;Terminy:select:1;15'10 20.01:18;130
26;Terminy:select:1;18'45 20.01:19;130
26;Terminy:select:1;21'20 20.01:20;130
27;Terminy:select:1;10'30 15.01:0;130
27;Terminy:select:1;13'00 15.01:1;130
27;Terminy:select:1;17'15 15.01:2;130
27;Terminy:select:1;10'50 16.01:3;130
27;Terminy:select:1;13'20 16.01:4;130
27;Terminy:select:1;17'00 16.01:5;130
28;Terminy:select:1;10'30 16.01:0;130
29;Terminy:select:1;16'00 16.01:0;130
29;Terminy:select:1;16'00 16.01:1;130
30;Terminy:select:1;18'00 17.01:0;130
31;Terminy:select:1;13'00* 20.01:0;130
31;Terminy:select:1;18'00* 20.01:1;130
32;Terminy:select:1;10'10 12.01:0;130
32;Terminy:select:1;11'10 12.01:1;130
32;Terminy:select:1;11'50 12.01:2;130
32;Terminy:select:1;12'30 12.01:3;130
32;Terminy:select:1;13'40 12.01:4;130
32;Terminy:select:1;14'15 12.01:5;130
32;Terminy:select:1;14'50 12.01:6;130
32;Terminy:select:1;16'00 12.01:7;130
32;Terminy:select:1;16'40 12.01:8;130
32;Terminy:select:1;17'15 12.01:9;130
32;Terminy:select:1;18'15 12.01:10;130
32;Terminy:select:1;19'00 12.01:11;130
32;Terminy:select:1;19'40 12.01:12;130
32;Terminy:select:1;20'40 12.01:13;130
32;Terminy:select:1;21'20 12.01:14;130
32;Terminy:select:1;22'00 12.01:15;130
32;Terminy:select:1;10'10 13.01:16;130
32;Terminy:select:1;11'10 13.01:17;130
32;Terminy:select:1;11'50 13.01:18;130
32;Terminy:select:1;12'30 13.01:19;130
32;Terminy:select:1;13'40 13.01:20;130
32;Terminy:select:1;14'15 13.01:21;130
32;Terminy:select:1;14'50 13.01:22;130
32;Terminy:select:1;16'00 13.01:23;130
32;Terminy:select:1;16'40 13.01:24;130
32;Terminy:select:1;17'15 13.01:25;130
32;Terminy:select:1;18'15 13.01:26;130
32;Terminy:select:1;19'00 13.01:27;130
32;Terminy:select:1;19'40 13.01:28;130
32;Terminy:select:1;20'40 13.01:29;130
32;Terminy:select:1;21'20 13.01:30;130
32;Terminy:select:1;22'00 13.01:31;130
32;Terminy:select:1;10'20 14.01:32;130
32;Terminy:select:1;11'30 14.01:33;130
32;Terminy:select:1;12'40 14.01:34;130
32;Terminy:select:1;14'00 14.01:35;130
32;Terminy:select:1;15'00 14.01:36;130
32;Terminy:select:1;16'20 14.01:37;130
32;Terminy:select:1;17'20 14.01:38;130
32;Terminy:select:1;18'45 14.01:39;130
32;Terminy:select:1;19'40 14.01:40;130
32;Terminy:select:1;20'15 14.01:41;130
32;Terminy:select:1;21'00 14.01:42;130
32;Terminy:select:1;21'30 14.01:43;130
32;Terminy:select:1;22'00 14.01:44;130
32;Terminy:select:1;10'20 15.01:45;130
32;Terminy:select:1;12'40 15.01:46;130
32;Terminy:select:1;15'00 15.01:47;130
32;Terminy:select:1;16'20 15.01:48;130
32;Terminy:select:1;17'20 15.01:49;130
32;Terminy:select:1;18'45 15.01:50;130
32;Terminy:select:1;19'40 15.01:51;130
32;Terminy:select:1;20'15 15.01:52;130
32;Terminy:select:1;21'00 15.01:53;130
32;Terminy:select:1;21'30 15.01:54;130
32;Terminy:select:1;22'00 15.01:55;130
32;Terminy:select:1;10'20 16.01:56;130
32;Terminy:select:1;12'40 16.01:57;130
32;Terminy:select:1;15'00 16.01:58;130
32;Terminy:select:1;16'20 16.01:59;130
32;Terminy:select:1;17'20 16.01:60;130
32;Terminy:select:1;18'45 16.01:61;130
32;Terminy:select:1;19'40 16.01:62;130
32;Terminy:select:1;20'15 16.01:63;130
32;Terminy:select:1;21'00 16.01:64;130
32;Terminy:select:1;21'30 16.01:65;130
32;Terminy:select:1;22'00 16.01:66;130
32;Terminy:select:1;10'20 17.01:67;130
32;Terminy:select:1;11'30 17.01:68;130
32;Terminy:select:1;12'40 17.01:69;130
32;Terminy:select:1;14'00 17.01:70;130
32;Terminy:select:1;15'00 17.01:71;130
32;Terminy:select:1;16'20 17.01:72;130
32;Terminy:select:1;17'20 17.01:73;130
32;Terminy:select:1;18'45 17.01:74;130
32;Terminy:select:1;19'40 17.01:75;130
32;Terminy:select:1;20'15 17.01:76;130
32;Terminy:select:1;21'00 17.01:77;130
32;Terminy:select:1;21'30 17.01:78;130
32;Terminy:select:1;22'00 17.01:79;130
32;Terminy:select:1;10'20 18.01:80;130
32;Terminy:select:1;11'30 18.01:81;130
32;Terminy:select:1;12'40 18.01:82;130
32;Terminy:select:1;14'00 18.01:83;130
32;Terminy:select:1;15'00 18.01:84;130
32;Terminy:select:1;16'20 18.01:85;130
32;Terminy:select:1;17'20 18.01:86;130
32;Terminy:select:1;18'45 18.01:87;130
32;Terminy:select:1;19'40 18.01:88;130
32;Terminy:select:1;20'15 18.01:89;130
32;Terminy:select:1;21'00 18.01:90;130
32;Terminy:select:1;21'30 18.01:91;130
32;Terminy:select:1;22'00 18.01:92;130
32;Terminy:select:1;10'20 19.01:93;130
32;Terminy:select:1;11'30 19.01:94;130
32;Terminy:select:1;12'40 19.01:95;130
32;Terminy:select:1;14'00 19.01:96;130
32;Terminy:select:1;15'00 19.01:97;130
32;Terminy:select:1;16'20 19.01:98;130
32;Terminy:select:1;17'20 19.01:99;130
32;Terminy:select:1;18'45 19.01:100;130
32;Terminy:select:1;19'40 19.01:101;130
32;Terminy:select:1;20'15 19.01:102;130
32;Terminy:select:1;21'00 19.01:103;130
32;Terminy:select:1;21'30 19.01:104;130
32;Terminy:select:1;22'00 19.01:105;130
32;Terminy:select:1;10'20 20.01:106;130
32;Terminy:select:1;11'30 20.01:107;130
32;Terminy:select:1;12'40 20.01:108;130
32;Terminy:select:1;15'00 20.01:109;130
32;Terminy:select:1;16'20 20.01:110;130
32;Terminy:select:1;17'20 20.01:111;130
32;Terminy:select:1;18'45 20.01:112;130
32;Terminy:select:1;19'40 20.01:113;130
32;Terminy:select:1;20'15 20.01:114;130
32;Terminy:select:1;21'00 20.01:115;130
32;Terminy:select:1;21'30 20.01:116;130
32;Terminy:select:1;22'00 20.01:117;130
33;Terminy:select:1;11'00 12.01:0;130
33;Terminy:select:1;12'00 12.01:1;130
33;Terminy:select:1;14'00 12.01:2;130
33;Terminy:select:1;15'00 12.01:3;130
33;Terminy:select:1;17'00 12.01:4;130
33;Terminy:select:1;18'00 12.01:5;130
33;Terminy:select:1;20'00 12.01:6;130
33;Terminy:select:1;20'50 12.01:7;130
33;Terminy:select:1;11'00 13.01:8;130
33;Terminy:select:1;12'00 13.01:9;130
33;Terminy:select:1;14'00 13.01:10;130
33;Terminy:select:1;15'00 13.01:11;130
33;Terminy:select:1;17'00 13.01:12;130
33;Terminy:select:1;17'45 13.01:13;130
33;Terminy:select:1;20'00 13.01:14;130
33;Terminy:select:1;20'50 13.01:15;130
33;Terminy:select:1;13'30 14.01:16;130
33;Terminy:select:1;17'00 14.01:17;130
